Source,Target,Weight,Type
634,586,4.347988478977266,directed
466,191,4.653871391076116,directed
662,320,4.394828335506301,directed
246,231,4.425904977375566,directed
191,703,4.488310042843248,directed
670,124,3.954462967982893,directed
348,434,4.554211321337215,directed
24,132,3.966614956154946,directed
504,32,3.985125362096152,directed
643,392,4.4166899428153386,directed
740,170,4.906444285031087,directed
250,818,4.371327124241171,directed
470,752,4.160916091223437,directed
756,591,4.272347615404233,directed
376,784,4.42368504913798,directed
458,288,4.067717238229607,directed
388,492,4.309375129066898,directed
112,36,4.029304029304029,directed
462,882,3.978205419602495,directed
398,208,4.035126620166427,directed
686,826,3.903956970858619,directed
288,250,4.031192582115245,directed
36,706,5.223872313976202,directed
528,112,4.7727282465177066,directed
40,826,4.298904198834253,directed
788,40,4.198963367660904,directed
854,834,4.605578370978782,directed
882,548,4.938896593089151,directed
756,170,4.111916643383315,directed
862,192,4.335971296050499,directed
116,368,4.313505435264211,directed
512,276,3.903127941813311,directed
584,826,4.22221140740744,directed
620,710,4.167100593330007,directed
246,417,3.8868159203980106,directed
586,380,4.163691336161004,directed
112,466,4.438909484090207,directed
440,196,3.973730125869737,directed
756,392,4.1108163673133165,directed
462,112,5.243376031178826,directed
528,428,4.149786189420335,directed
112,682,4.057895600813636,directed
450,404,4.126105062531005,directed
24,710,3.988932599660589,directed
76,246,4.187558179051163,directed
196,414,4.05460554485121,directed
32,40,3.973553880474858,directed
554,724,4.11766547729281,directed
152,756,4.272197858005807,directed
643,208,4.336323877885081,directed
36,376,4.608933494812693,directed
296,36,4.185950760114758,directed
430,728,4.589663904235727,directed
72,426,4.166666666666667,directed
784,328,4.104880315296296,directed
32,56,4.155241102423499,directed
498,756,4.11701720522543,directed
764,788,4.050925925925927,directed
100,364,4.734795237684278,directed
462,428,3.2742616877232265,directed
484,860,4.925524150743101,directed
702,788,4.149103259674064,directed
266,724,4.14158950617284,directed
682,706,4.037451297978196,directed
740,208,4.140127388535031,directed
818,170,4.479575227613553,directed
233,158,4.126524713775943,directed
218,604,4.159124874398058,directed
56,591,3.938933873144399,directed
48,784,4.325881518577759,directed
36,710,4.281331914429973,directed
585,184,4.224493029150824,directed
480,756,4.19318080233995,directed
818,204,4.375418105713702,directed
364,729,4.117403276539992,directed
528,600,4.415923186589661,directed
458,404,4.213087264896475,directed
60,462,4.394036784693131,directed
232,400,4.028851464979389,directed
792,231,4.623028386960309,directed
320,704,4.203382007385028,directed
818,392,4.038612349302041,directed
670,275,4.308720939128458,directed
191,368,4.348544973544974,directed
643,60,3.7595782489009415,directed
328,484,4.3321528650134535,directed
524,144,3.97509051512278,directed
196,724,4.304656997245955,directed
360,686,4.213736282911174,directed
276,795,4.017023160247397,directed
56,170,4.043068396549479,directed
478,400,4.494303439956343,directed
608,496,4.025512098183088,directed
96,152,4.06650641025641,directed
807,616,4.248636962752361,directed
862,332,4.334048073921339,directed
4,84,5.157157950343369,directed
158,470,4.453664719706075,directed
336,604,4.1727383298789205,directed
492,232,4.018640350877193,directed
670,484,4.271840849139556,directed
422,180,4.358974358974359,directed
834,818,4.329201231829936,directed
233,826,4.161483920348252,directed
462,600,4.239799574639058,directed
250,566,4.095276997270987,directed
56,392,4.1751895291436965,directed
328,44,4.167143030549392,directed
398,300,4.294444236018808,directed
152,620,4.155331664697889,directed
212,44,4.140555923961096,directed
682,376,4.491189090106177,directed
36,764,4.160469817870969,directed
504,434,4.118152841616012,directed
492,364,4.463696369636964,directed
498,620,4.001938705876344,directed
454,72,4.03990680593713,directed
634,478,4.166666666666667,directed
578,804,4.191874855030608,directed
704,804,4.204324108749794,directed
276,686,4.173193322211451,directed
108,729,4.07471847962486,directed
854,562,4.402203915308431,directed
428,8,4.696684143148443,directed
792,417,4.188490788675449,directed
682,710,4.0908687471384,directed
504,222,4.731248813591496,directed
480,620,4.24141749723145,directed
191,320,4.285037878787879,directed
554,352,4.492651720104644,directed
512,340,4.274425287356323,directed
158,480,4.222304648862512,directed
203,578,3.9716477742114606,directed
728,724,3.850123045169485,directed
818,208,4.152898907423243,directed
643,300,4.357843835296097,directed
894,818,4.135541089589942,directed
288,554,4.187957505736634,directed
470,250,4.213107344840082,directed
270,728,5.179655121373595,directed
328,212,4.138465877044557,directed
250,192,4.183987374728781,directed
442,840,4.102843540881626,directed
682,764,4.13400314773462,directed
496,392,4.065220676666188,directed
56,208,4.190234497824237,directed
100,826,4.308153344232556,directed
4,124,4.321733588505724,directed
196,352,4.152004957109028,directed
882,242,4.113123555032592,directed
498,348,4.461518415150749,directed
818,60,4.11906440996709,directed
300,516,4.0050187471476,directed
398,51,4.035816533914804,directed
203,674,3.810846039729509,directed
492,716,4.156728688377367,directed
24,120,4.187225877192982,directed
148,422,4.652979928196172,directed
512,410,3.979174084613355,directed
246,702,4.06218068905153,directed
858,862,3.968411416774008,directed
404,51,4.346264367816093,directed
434,887,4.371094212035542,directed
470,116,3.883800287356322,directed
670,372,4.17139526998302,directed
56,60,4.259709007769035,directed
144,408,4.080505967315671,directed
417,380,4.413352469989986,directed
834,566,3.969048389869543,directed
332,222,4.162300317825954,directed
144,616,4.050139247432637,directed
704,512,4.092261904761905,directed
798,360,3.9695782712853225,directed
400,591,4.687139721212382,directed
48,32,4.34981684981685,directed
716,104,4.320141065830721,directed
492,826,4.132686209550007,directed
52,578,4.284686448682713,directed
710,516,4.286214871747483,directed
826,410,4.036484427604928,directed
710,496,3.9170628631801376,directed
860,203,3.919160215516708,directed
598,191,4.285037878787879,directed
400,170,4.993957998012389,directed
250,332,4.301427224584528,directed
356,591,5.087868480725622,directed
600,528,4.809523809523808,directed
392,585,4.090875616383258,directed
704,31,3.9426303161523264,directed
554,524,4.086655003234965,directed
422,704,4.250599976065691,directed
470,442,4.776975675098131,directed
762,56,4.177164333851737,directed
818,300,4.119515896547534,directed
646,368,4.068429623336165,directed
585,608,4.198233178472227,directed
688,4,5.067402169108897,directed
226,270,3.973608282416836,directed
740,51,4.145695536347373,directed
12,807,4.092925574911161,directed
400,392,4.2949596250666895,directed
44,634,4.118165784832452,directed
20,674,4.152348229027739,directed
804,496,4.348974049487025,directed
356,170,3.921441046631365,directed
404,24,4.01964781631281,directed
458,466,3.664841849148419,directed
554,462,4.465968633412809,directed
578,604,3.996085758685018,directed
380,454,4.220314735336195,directed
112,124,4.37171496888229,directed
