ID,Label,ISO,Latitude,Longitude
31,Azerbaijan,AZE,40.5,47.5
492,Monaco,MCO,43.7333,7.4
51,Armenia,ARM,40.0,45.0
533,Aruba,ABW,12.5,-69.9667
660,Anguilla,AIA,18.25,-63.1667
438,Liechtenstein,LIE,47.1667,9.5333
678,Sao Tome and Principe,STP,1.0,7.0
548,Vanuatu,VUT,-16.0,167.0
876,Wallis and Futuna Islands,WLF,-13.3,-176.2
674,San Marino,SMR,43.7667,12.4167
344,China Hong Kong Special Administrative Region,HKG,22.25,114.1667
446,China Macao Special Administrative Region,MAC,22.1667,113.55
204,Benin,BEN,9.5,2.25
654,Saint Helena,SHN,-15.9333,-5.7
268,Georgia,GEO,42.0,43.5
