ISO,Score,Rank,Political Context,Rank_Pol,Economic Context,Rank_Eco,Legal Context,Rank_Leg,Social Context,Rank_Soc,Safety,Rank_Saf,Zone,Country_EN,Country_FR,Country_ES,Country_AR,Country_FA,Year (N),Rank N-1,Rank evolution,Country_PT,Score N-1,Score evolution
MWI,"61,4",80,"55,76",90,"38,44",110,"78,07",43,"67,67",93,"67,08",89,Afrique,Malawi,Malawi,Malaui,مالاوي,مالاوی,2022,62,-18,,,
CTU,"61,08",81,"56,48",87,"38,78",108,"69,82",68,"60,2",120,"80,14",46,Europe - Asie centrale,Cyprus North,Chypre (partie Nord),Chipre Norte,قبرص (الجزء الشمالي),قبرس (شمالی),2022,76,-5,,,
CHL,"60,61",82,"65,03",59,"42,86",86,"67,63",82,"72,4",77,"55,15",115,Amériques,Chile,Chili,Chile,تشيلي,شیلی,2022,54,-28,,,
COM,"60,16",83,"56,36",88,"50,26",57,"59,98",112,"75,63",66,"58,56",109,Afrique,Comoros,Comores,Comoras,جزر القمر,کومور,2022,84,1,,,
GIN,"59,82",84,"59,26",80,"47,05",70,"71,15",65,"70,67",81,"50,96",122,Afrique,Guinea,Guinée,Guinea,غينيا,گینه,2022,109,25,,,
HUN,"59,8",85,"47,07",119,"32,31",141,"67,25",83,"67,33",95,"85,03",29,Europe - Asie centrale,Hungary,Hongrie,Hungría,المجر,مجارستان,2022,92,7,,,
ISR,"59,62",86,"65,15",58,"55,1",44,"53,51",130,"77,75",56,"46,61",126,Maghreb - Moyen-Orient,Israel,Israël,Israel,إسرائيل,اسرائیل,2022,86,0,,,
MDV,"59,55",87,"62,27",66,"38,27",111,"67,11",85,55,134,"75,12",59,Asie-Pacifique,Maldives,Maldives,Maldivas,المالديف,مالدیو,2022,72,-15,,,
LSO,"59,39",88,"57,37",85,"40,14",102,"57,31",119,74,72,"68,11",88,Afrique,Lesotho,Lesotho,Lesoto,ليسوتو,لسو‌تو,2022,88,0,,,
GEO,"59,3",89,"52,42",102,"46,43",74,"80,79",32,"75,5",67,"41,34",135,Europe - Asie centrale,Georgia,Géorgie,Georgia,جورجيا,گرجستان,2022,60,-29,,,
MNG,"59,17",90,"55,48",93,"36,18",121,"60,37",110,"69,55",86,"74,27",66,Asie-Pacifique,Mongolia,Mongolie,Mongolia,منغوليا,مغولستان,2022,68,-22,,,
BGR,"59,12",91,"54,95",95,"30,1",150,"68,71",76,"66,83",97,"75,02",60,Europe - Asie centrale,Bulgaria,Bulgarie,Bulgaria,بلغاريا,بلغارستان,2022,112,21,,,
GNB,"58,79",92,"51,15",108,"50,82",52,"68,42",77,"62,4",113,"61,18",104,Afrique,Guinea-Bissau,Guinée-Bissau,Guinea-Bisáu,غينيا بيساو,گینه بیسائو,2022,95,3,,,
COG,"58,64",93,"58,06",83,"48,57",61,"64,21",95,"62,6",112,"59,76",108,Afrique,Congo,Congo,República del Congo,الكونغو,کنگو,2022,118,25,,,
TUN,"58,49",94,"61,82",67,"41,84",92,"67,19",84,"70,2",82,"51,42",121,Maghreb - Moyen-Orient,Tunisia,Tunisie,Túnez,تونس,تونس,2022,73,-21,,,
BWA,"58,49",95,"56,97",86,"37,24",116,"56,36",122,"69,75",85,"72,11",75,Afrique,Botswana,Botswana,Botsuana,بوتسوانا,بوستاوانا,2022,38,-57,,,
PRY,"58,36",96,"54,24",98,"31,12",147,"75,44",53,65,104,"65,99",93,Amériques,Paraguay,Paraguay,Paraguay,باراغواي,پاراگوئه,2022,100,4,,,
MRT,"58,1",97,"55,15",94,"35,13",125,"64,29",94,"64,29",106,"71,67",76,Afrique,Mauritania,Mauritanie,Mauritania,موريتانيا,موریتانی,2022,94,-3,,,
MDG,"58,02",98,"52,58",101,"35,08",126,"64,47",93,"64,5",105,"73,47",69,Afrique,Madagascar,Madagascar,Madagascar,مدغشقر,ماداگاسکار,2022,57,-41,,,
AGO,"57,17",99,"52,83",100,"35,03",127,"61,11",106,73,75,"63,87",97,Afrique,Angola,Angola,Angola,أنغولا,آنگولا,2022,103,4,,,
